X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
2071493,5811612,3998,,543301,0,0,0,0,1,North,2016/2017,SH 35,MARAEHARA VALLEY ROAD,,Non-Injury Crash,Yes,2016,0,South,0,0,0,Hill Road,0,,0,,0,Twilight,1343300,0,0,0,2,0,0,0,0,0,,0,0,Gisborne Region,Nil,2-way,Sealed,0,0,0,0,100,0,None,1,0,,28,Gisborne District,Unknown,0,0,0,0,0,0,Open,0,0,0,Light rain,Null
1748920,5427687,3999,,573000,0,,0,3,,South,2002/2003,JERVOIS QUAY,HARRIS ST,1,Minor Crash,No,2002,,South,,0,,Flat,,,,,,Twilight,2127800,2,0,0,6,,,0,,,,,,Wellington Region,Nil,2-way,Sealed,,0,0,,50,,On,0,0,,47,Wellington City,Nil,,,,,0,0,Urban,0,,,Fine,Null
1756965,5450077,4000,,571900,0,,0,2,,Null,2001/2002,SH 1N,GRAYS ROAD,,Non-Injury Crash,Yes,2001,,South,,0,,Flat,,Labour Weekend,,,,Bright sun,2068800,0,0,0,2,,,0,,,,,,Wellington Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,44,Porirua City,Give way,,,,,0,0,Urban,0,,,Fine,Null
1874577,5721242,4001,,541312,0,0,0,1,0,East,2008/2009,RAPIDS ROAD,ARATIATIA ROAD,,Minor Crash,No,2009,0,East,1,0,0,Flat,0,,0,,0,Overcast,1279801,1,0,0,2,0,0,0,0,0,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,50,0,None,0,0,,21,Taupo District,Nil,0,0,0,0,0,0,Urban,0,0,0,Mist or Fog,Null
1749787,5914130,4002,,511303,0,,0,1,,South,2015/2016,MCNAUGHTON WAY,HUGH BROWN DRIVE,,Minor Crash,No,2015,,East,,0,,Flat,,,,,,Overcast,267000,1,0,0,1,,,0,,,1,,,Auckland Region,Nil,Off road,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Unknown,,,,,0,0,Urban,0,,,Fine,Null
1938639,5788461,4003,,542530,0,,0,1,,Null,2002/2003,SH 2,WESTERN DRAIN ROAD,,Minor Crash,Yes,2003,,West,,0,,Flat,,,,,,Dark,1300901,1,0,0,2,,,0,,,,,,Bay of Plenty Region,Nil,2-way,Sealed,,0,0,,100,,None,0,0,,25,Whakatane District,Give way,,,,,0,0,Open,1,,,Light rain,Null
1821912,5530001,4004,,562800,0,,0,1,,Null,2001/2002,SH 3,GREY ST,,Non-Injury Crash,Yes,2002,,East,,0,,Flat,,,,,,Dark,1830600,0,0,0,2,,,0,,,,,,Manawatu-Wanganui Region,Nil,2-way,Sealed,,0,0,,50,,On,0,0,,40,Palmerston North City,Stop,,,,,0,0,Urban,1,,,Light rain,Null
1748452,5913939,4005,,511302,0,,0,2,,Null,2011/2012,GREAT NORTH ROAD,LYNWOOD ROAD,,Non-Injury Crash,No,2011,,East,,0,,Flat,,,,,,Bright sun,269300,0,0,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Give way,,,,,0,0,Urban,0,,,Fine,Null
1215054,4897250,4006,,612200,0,0,0,1,0,East,2012/2013,SH 96,CLAPPS ST,,Non-Injury Crash,Yes,2013,0,East,0,0,0,Flat,0,,0,,0,Bright sun,3180200,0,0,0,2,0,0,0,0,1,,0,0,Southland Region,Nil,2-way,Sealed,0,0,0,0,50,0,Null,0,0,,73,Southland District,Unknown,0,0,0,0,1,0,Urban,0,0,0,Fine,Null
1797981.239,5814652.957,4007,,529000,0,,0,1,,Null,2019/2020,MASSEY STREET,RIFLE RANGE ROAD,,Non-Injury Crash,Yes,2019,,East,,0,,Flat,,,,,,Bright sun,917900,0,0,0,2,,,0,,,,,,Waikato Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,16,Hamilton City,Give way,,,,,0,0,Urban,1,,,Fine,Null
1762637,5426153,4008,,565400,0,0,0,1,1,South,2004/2005,COAST ROAD,PARENGA ST,,Non-Injury Crash,No,2004,0,South,0,0,0,Flat,0,,0,,0,Twilight,2026000,0,0,0,2,0,0,0,0,0,,0,0,Wellington Region,Nil,2-way,Sealed,0,0,0,0,100,0,None,0,0,,46,Lower Hutt City,Nil,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1504319,5341371,4009,,584701,0,0,0,1,0,Null,2003/2004,SH 69,OGRADY ROAD,,Minor Crash,Yes,2003,0,South,0,0,1,Flat,0,,0,,0,Bright sun,2396500,1,0,0,2,0,0,0,0,0,,0,0,West Coast Region,Nil,2-way,Sealed,0,0,0,0,100,0,Null,0,0,,55,Buller District,Nil,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1819782,5528927,4010,,562710,0,,0,2,,Null,2002/2003,HIGHBURY AVENUE,RONBERG ST,,Non-Injury Crash,No,2002,,West,,0,,Flat,,,,,,Overcast,1820000,0,0,0,2,,,0,,,,,,Manawatu-Wanganui Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,40,Palmerston North City,Give way,,,,,0,0,Urban,0,,,Fine,Null
1856367,5803304,4011,,535231,0,0,0,1,0,East,2014/2015,SH 29,RAPURAPU ROAD,,Non-Injury Crash,Yes,2014,0,West,0,0,1,Hill Road,0,,0,1,0,Overcast,1113900,0,0,0,3,0,0,0,0,0,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,100,0,Null,0,0,,15,Matamata-Piako District,Unknown,0,0,0,0,0,0,Open,0,0,0,Light rain,Null
1751935,5917675,4012,,514900,0,,1,1,,North,2001/2002,GREAT NORTH ROAD,COWLEY ST,,Non-Injury Crash,No,2002,,North,,0,,Hill Road,,,,,,Overcast,385803,0,0,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1406338,4914110,4013,,604410,0,,0,2,,North,2001/2002,KING EDWARD ST,BAY VIEW ROAD,,Minor Crash,No,2001,,North,,0,,Flat,,,,,,Bright sun,2931000,1,0,0,2,,,0,,,,,,Otago Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,71,Dunedin City,Unknown,,,,,0,0,Urban,0,,,Fine,Null
1566910,5178471,4014,,590300,0,,0,0,,East,2007/2008,SH 76,ANNEX UNDERPASS,,Non-Injury Crash,Yes,2007,,East,,0,,Flat,,,,,,Overcast,2538603,0,0,0,2,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,0,,100,,Null,1,0,,60,Christchurch City,Unknown,,,,,1,0,Open,0,,,Fine,Null
1664483,5428083,4015,,580446,0,,0,1,,South,2000/2001,SH 6,MAHAKIPAWA ROAD,,Non-Injury Crash,Yes,2001,,South,,0,,Hill Road,,,,,,Bright sun,2286200,0,0,0,2,,,0,,,,,,Marlborough Region,Nil,2-way,Sealed,,0,0,,100,,Null,0,0,,53,Marlborough District,Nil,,,,,1,0,Open,0,,,Fine,Null
