X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1569518,5182074,1,,592200,0,,0,1,,Null,2007/2008,PAPANUI ROAD,RUGBY ST,,Non-Injury Crash,No,2008,,North,,0,,Flat,,,,,,Bright sun,2674700,0,0,0,2,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,60,Christchurch City,Nil,,,,,0,0,Urban,1,,,Fine,Null
1644081,5398344,2,,580450,0,,0,1,,Null,2000/2001,SH 63,MORSE ST,,Non-Injury Crash,Yes,2000,,West,,0,,Flat,,Labour Weekend,,,,Bright sun,2287300,0,0,1,2,,,0,,,,,,Marlborough Region,Nil,2-way,Sealed,,0,0,,70,,Null,0,0,,53,Marlborough District,Nil,,,,,0,0,Urban,0,,,Fine,Null
1764998,5910554,3,,521803,0,0,0,1,0,South,2005/2006,SH 1N,OTAHUHU OFF SBD,,Non-Injury Crash,Yes,2005,0,South,0,0,0,Flat,1,,0,,0,Overcast,790000,0,0,0,3,0,0,0,0,0,,0,0,Auckland Region,Nil,1-way,Sealed,0,0,0,0,80,0,Off,0,0,,76,Auckland,Nil,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1446875,5015875,4,,600826,0,,0,1,,South,2011/2012,SH 1S,HILDERTHORPE ROAD,,Fatal Crash,Yes,2011,,North,,1,,Flat,,,,,,Bright sun,2827201,1,0,0,2,,,0,,,,,,Otago Region,Nil,2-way,Sealed,,0,1,,100,,Null,0,0,,68,Waitaki District,Unknown,,,,,0,0,Open,1,,,Fine,Null
1757705,5920256,5,,514103,0,,0,2,,North,2015/2016,PRINCES ST,ALFRED ST,,Non-Injury Crash,No,2016,,North,,0,,Flat,,,,1,,Dark,437200,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,On,0,0,,76,Auckland,Unknown,,,,,0,0,Urban,0,,,Null,Null
1399760,5126199,6,,600323,0,0,0,1,0,East,2017/2018,LILYBANK ROAD,SH 8,,Minor Crash,No,2018,0,North,0,0,1,Flat,0,,0,,0,Overcast,2812803,1,0,0,2,0,0,0,0,0,,0,0,Canterbury Region,Nil,2-way,Unsealed,0,0,0,0,80,0,Null,0,0,,65,Mackenzie District,Unknown,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1246283,4841973,7,,609914,0,,0,1,,Null,2007/2008,SH 1S,MOTU RIMU ROAD,,Non-Injury Crash,Yes,2007,,West,,0,,Flat,,,,,,Overcast,3160600,0,0,0,2,,,0,,,,,,Southland Region,Nil,2-way,Sealed,,0,0,,100,,Null,0,0,30,75,Invercargill City,Give way,,,,,1,0,Open,0,,,Fine,Null
1753239,5877679,8,,526103,0,0,0,1,0,West,2002/2003,RANGIWHEA ROAD,SANDSPIT ROAD,,Non-Injury Crash,No,2002,0,North,0,0,1,Flat,0,,0,,0,Dark,836800,0,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,76,Auckland,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1678905,5401612,9,,581250,0,0,0,1,0,North,2015/2016,WESTHAVEN PLACE,HOSPITAL ROAD,,Non-Injury Crash,No,2016,0,North,0,0,0,Flat,0,,0,,0,Dark,2304508,0,0,0,2,0,0,0,0,0,,0,0,Marlborough Region,Nil,2-way,Sealed,0,0,0,0,50,0,None,0,0,,53,Marlborough District,Unknown,1,0,0,1,0,0,Urban,0,0,0,Light rain,Null
1901348,5685912,10,65,541503,0,0,0,0,1,East,2016/2017,SH 5,MATEA ROAD,,Non-Injury Crash,Yes,2016,0,West,0,0,0,Flat,1,,0,,0,Bright sun,1281005,0,0,0,2,0,0,0,0,0,,0,0,Hawke's Bay Region,Nil,2-way,Sealed,0,0,0,0,100,0,Null,0,0,,21,Taupo District,Unknown,0,0,0,0,1,0,Open,0,0,0,Fine,Null
